tweets_transform,result,polarity
gelaran formula e jakarta dibarengi konser festival panitia mengaku terinspirasi gelaran for,netral,0.0
pt jakarta propertindo menurunkan kapasitas penonton menonton langsung balapan mobil listrik,positif,0.1
idha asmara1701 pi,netral,0.0
tiket perhelatan formula e dijual balapan digelar 67 penjelasan panitia formula e,netral,0.0
psi menyoroti pemangkasan kapasitas kursi penonton ajang formula e jakarta terlampa,netral,0.0
pembangunan sirkuit formula e jakarta revisi fia perjalanan panjangnya,netral,0.0
organizing committee mengungkap koreksikoreksi fia lintasan formula e ancol panitia formula e jakar,netral,0.0
psi menyoroti pemangkasan kapasitas kursi penonton ajang formula e jakarta terlampau target ps,netral,0.0
tompelan nakula ya coba sebutin namanya kl,netral,0.0
koreksi fia sirkuit formula e ancol jakarta arenanews,netral,0.0
koreksi fia sirkuit formula e ancol jakarta,netral,0.0
koreksi fia sirkuit formula e ancol jakarta arenanews,netral,0.0
anggota dprd dki jakarta fraksi pdip gilbert simanjuntak menyebut target penonton 10 ribu ajang formul,netral,0.0
laku team amp pembalap formula e aja dikenal masyarakat daya tariknya dimanajangan2 penont,netral,0.0
anggota dprd dki jakarta gilbert simanjuntak menilai turunnya target penonton langsung formula e 500,positif,0.1
nyadarkah motogp mandalika n formula e jakarta agenda indonesia,netral,0.0
detiknews koreksi fia sirkuit formula e ancol jakartamelalui,netral,0.0
295m sebelah 2t trus revisi 560 form,netral,0.0
tompelan nakula warga jakarta tdk,netral,0.0
tompelan nakula tepatnya orang2 y,positif,0.25
gerindra wajar kapasitas penonton formula e jakarta 50000,positif,0.2
kapasitas penonton panitia sirkuit formula e jakarta mandalika,netral,0.0
lestari heran dgn kebijakan membangun sirkuit utk formula ekenapa sentul tdk dimaksimalk,positif,0.1
panitia bilang kapasitas penonton formula e final penjelasannya,netral,0.0
grand stand 30 ribu orang memasukkan penonton semudah it,positif,0.4666666666666667
cari celahcelah penonton selepin kursi pohonpohon penonton ditampung,netral,0.0
crab mata buta atw jakarta internasional stadion sdh,negatif,-0.25
ekretaris komisi d bidang pembangunan dprd dki jakarta fraksi gerindra syarif mengaku mempermasalahkan,netral,0.0
wagub dki jakarta kapasitas penonton balap formula e 50 ribu 10 ribu,netral,0.0
kapasitas penonton formula e jakarta ditentukan,netral,0.0
bongkar korupsi tubuh pemprov dki jakarta,netral,0.0
vp communication organizing commite jakarta eprix iman syafei perilisan harga tiket formula e pe,netral,0.0
pemggilan ketua dprd dki jakarta langkah a al membongkar formula e,netral,0.0
acara bertaraf internasional menyuguhkan aksi pembalap sirkuit hibura,positif,0.03333333333333333
kapasitas penonton formula e jakarta panitia menentukan,netral,0.0
1720 beritasonora diklaim selesai 879 persen progres sirkuit formula e ancol jakarta,netral,0.0
rencana pembangunan 54 molor lantaran desain sirkuit dinilai feo memenu,netral,0.0
tompelan nakula mudahnya kl bu,positif,0.43333333333333335
anggota fraksi gerindra dprd dki jakarta syarif mewajarkan pendapatan tiket gelaran formula e ti,netral,0.0
pembangunan sirkuit formula e ancol jakarta utara dikebut kumparannews,netral,0.0
id perjuangan goblok kaliam kritik formula e buang buang ang,netral,0.0
panitia formula e jakarta keputusan final penonton formula e ancol kumparannews,netral,0.0
perasaan jaman sirkuit ancol banter balap gokart formulae formulae,netral,0.0
wakil gubernur dki jakarta ahmad riza patria menanggapi kapasitas penonton formula e merosot 10 ribu,netral,0.0
pemprov dki jakarta memutuskan mengurangi kapasitas penonton formula e ditargetkan 50 ribu penont,netral,0.0
anies baswedan memiliki kebiasaan memotong target program unggulannya target penonton langsung,positif,0.06666666666666667
city circuit dgn street circuit utk formula e city circuit dgn aturan,netral,0.0
wagub dki jakarta ahmad riza patria mengungkap alasan kapasitas penonton formula e ditargetkan 50 ribu,netral,0.0
dadakan arti dibangun super kilat ngga respons baiksaya,negatif,-0.008333333333333331
nabiel hidup lo jakarta klu cuman seputaran dp 0 formula e lo,positif,0.06818181818181818
tompelan nakula kl fokus kerja jis jgn,netral,0.0
sirkuit formula e jakarta satusatunya mengalami perubahan sirkuit negara ban,netral,0.0
wakil ketua komisi e bidang kesra dprd dki jakarta anggara wicitra sastroamidjojo dibohongi lantaran target,negatif,-0.125
target penonton formula e wagub dki akui keterbatasan,netral,0.0
mantan menteri pemuda olahraga menpora ri roy suryo gubernur dki jakarta anies baswedan meny,netral,0.0
org ente banggakan lbh parah krn menghabiskan uang fee yg utk formula e yg ma,positif,0.8
dprd dki jakarta menilai ajang formula e dipersiapkan,netral,0.0
pertamanya gelaran formula e jakarta menutup modal penyelenggaraan modal k,positif,0.25
asmara1701 perbandingan nya apple to apple mandalika level n,netral,0.0
wakil gubernur dki jakarta ahmad riza patria mengakui pendapatan formula e berpotensi berkurang seiring menyus,netral,0.0
wagub dki kapasitas penonton formula e lokasi tv,netral,0.0
asmara1701 oasti indonesia mendunia rakyat bangga indonesia kelas mandakika,positif,0.8
kpk tegaskan mainmain usut dugaan korupsi formula e jakartakpk,netral,0.0
pembangunan formula e membebankan menyengsarakan warga jakarta anies ti,netral,0.0
wakil gubernur dki jakarta ahmad riza patria mengakui pendapatan formula e berpotensi berkurang seiring menyus,netral,0.0
siapsiap warga jakarta menyambut selesainya formula e yg selesai,netral,0.0
cakrawala semoga bermanfaat rakyat jakarta gimana formula e,positif,0.3
menganggap kpk berhatihati penyelidikan perkara dugaan korupsi formula e dki jakarta pakar h,negatif,-0.1
perjalanan pembangunan sirkuit formula e jakarta tempometro,netral,0.0
drun negara lw gelaran balapan pakai jalanan kota ya jalan yg pakai tinggal nambah,netral,0.0
jakarta minyak goreng woi gimaneeejangan formula e muluuuucoba lu lu pade dorong mendag spy jkrt bo,netral,0.0
seiring pembangunan sirkuit formula e berjalan bumd pt jakarta propertindo penyelenggara menyia,netral,0.0
molooorr perencanaan penyelenggaraan ajang balap formul,netral,0.0
nakula bikin formula e jakarta jakarta udah tenggelam dibangun wkwkwk,netral,0.0
dipikir formula e badan usaha milik dki jakarta ya,netral,0.0
cakrawala susahnya si bikin judul tuh fia sirkuit formula e jakarta direvisi ngapain pake sgala garagara,negatif,-0.5
tuduhan si badrun praktek pencucian uang gibrankaesang mandeg tangan kpk persisnya mandeg,positif,0.25
molooorr perencanaan penyelenggaraan ajang balap formula e jakarta amburadul pembangunan sirkuit sesuai,positif,0.5
ri jakarta kota yg deket dg ri seolah2 gak apa2 udh rusak formula e kabar ri,negatif,-0.4
samakan mandalika amp formula e mandalika pemerintah pusatnegara indo,netral,0.0
penonton formula e dipangkas habis 50 ribu orang 10 ribu orangtarget dipotongpotong bayar,netral,0.0
om g formula e panggil om gilbert tokoh agama doa luput hujan tp na,netral,0.0
adi asmara1701 yaudahuntungnya formula e jakarta,netral,0.0
semoga pembuktian stlh ajang formula e minat unt kendaraan berlistrik m,positif,0.25
nakula 90 angka dr coba liat udah bangunan blm disitu,netral,0.0
suratnya sakti tp kpk yg saktikuliti anies baswedan ketua dprd dki surat sakti muluskan pinjama,netral,0.0
harto sirkuit formula e jis tim mangkrak kereta cepat,positif,0.2
wagub dki jakarta pendapatan balap formula e untung,positif,0.4
gak nyangka sih buka channel yt nya om mobi video bahas sirkuit formula e jakarta udah ikuti,netral,0.0
prasetyo ketua dprd dki gilbert simanjuntak komisi b dprd dkimereka berdua,netral,0.0
motogp bengkak 12t 25t aspal ngelupas bengkak kpk aja udah dilemahin,netral,0.0
bedanya yg dirasakan mandalika dg fasilitas pon papua klo formula e nambah cantik nya,positif,0.85
jis formula e sih bagus2 aja sukses nama jakarta amp indonesia yg bangg,positif,0.725
gak nyangka lihat channel om mobi video bahas sirkuit formula e jakarta,netral,0.0
tujuan utama tujuannya potong pita klo jakarta bangun formula e,negatif,-0.21666666666666667
uang dikeluarkan formula e tujuan formula e bers,netral,0.0
lestari formula e mempromosikan kendaraan listrik yg bebas polusi ketergantungan terhad,positif,0.4
ooo cebong tolol psti mkn stres,negatif,-0.7999999999999999
asmara1701 idha,netral,0.0
50000 target sirkuit formula e jakarta 10000 penonton langsung,positif,0.1
diklaim selesai 879 persen progres sirkuit formula e ancol jakarta,netral,0.0
nakula gw bicara tehnik konstruksi ya droenzgw bicara green racing mending elo baca a,negatif,-0.2
coba merekamaket nya apako optimis selesai 87klu maket nya,netral,0.0
nakula alhamdulillah indonesia sirkuit kelas internasional sirkuit mandalika motogp d,netral,0.0
wakil gubernur dki jakarta ahmad riza patria pengurangan penonton seran,netral,0.0
publik kewajaran proyek formula e dr sisi biaya feasibilty governance k,netral,0.0
gelaran balap formula e jakarta resmi digelar jakarta 4 juni 2022 fia world motor,netral,0.0
bangga berungkap alhamdulillah berhasil jakarta salah tuan rumah balap mobil bergen,positif,0.775
semoga persiapan balapan formula e lancar sukses warga miskin jakarta rejeki tambahan,positif,0.175
