text,date,user_location
Gelaran Formula E di Jakarta akan dibarengi dengan konser hingga festival. Panitia mengaku terinspirasi gelaran For… https://t.co/h3x9lFZdpq,2022-03-28 23:50:40,"Jakarta, Indonesia"
PT Jakarta Propertindo menurunkan kapasitas jumlah penonton yang bisa menonton langsung balapan mobil listrik itu.… https://t.co/WxrnvArJys,2022-03-28 23:45:00,"Palmerah, Jakarta"
@HermanBudiSant4 @Boediantar4 @marlina_idha @Mdy_Asmara1701 @tatakujiyati @penikmatko_pi @SahabatDrZARRIL… https://t.co/os9Nkv3Ll2,2022-03-28 23:26:45,
Tiket perhelatan Formula E belum dijual saat balapan digelar kurang dari 67 hari. Ini penjelasan panitia Formula E… https://t.co/8FYlVwPIGz,2022-03-28 23:25:41,"Jakarta, Indonesia"
"..https://t.co/51mM2f7GsR

PSI menyoroti pemangkasan kapasitas kursi penonton ajang Formula E Jakarta yang terlampa… https://t.co/XPBYHNBO1f",2022-03-28 23:02:02,
"Pembangunan Sirkuit Formula E Jakarta Sampai Revisi dari FIA, Begini Perjalanan Panjangnya- https://t.co/31bxfBEZcT… https://t.co/y7M5Se9F5K",2022-03-28 22:43:32,"Ciamis, Indonesia"
Organizing Committee mengungkap koreksi-koreksi dari FIA untuk lintasan Formula E di Ancol. Panitia Formula E Jakar… https://t.co/5sbES0fh40,2022-03-28 21:30:18,"Jakarta, Indonesia"
PSI menyoroti pemangkasan kapasitas kursi penonton ajang Formula E Jakarta yang terlampau jauh dari target awal. PS… https://t.co/HDHen0ecX5,2022-03-28 20:20:13,"Jakarta, Indonesia"
@insaninsun @WahyuEkoPrabow9 @cibel_tompelan @ErSatArema021 @AndriHarsa @03__nakula Ya coba sebutin namanya kl anda… https://t.co/fZhhZcqybY,2022-03-28 17:58:36,"Zittau, Germany"
"Berikut Koreksi FIA untuk Sirkuit Formula E di Ancol Jakarta – Arenanews https://t.co/jWdOBK3P2D - [""https://t.co/1yfNjtDGqx""]",2022-03-28 17:20:33,Indonesia
Berikut Koreksi FIA untuk Sirkuit Formula E di Ancol Jakarta - https://t.co/38hUzGOWi3,2022-03-28 17:03:38,Indonesia
Berikut Koreksi FIA untuk Sirkuit Formula E di Ancol Jakarta – Arenanews https://t.co/roqifLmLSP https://t.co/r2ayVVaxBq,2022-03-28 16:52:46,Indonesia
"ANGGOTA DPRD DKI Jakarta Fraksi PDIP, Gilbert Simanjuntak menyebut target penonton sejumlah 10 ribu di ajang Formul… https://t.co/VdU3oRdrLq",2022-03-28 16:50:00,Jakarta - Indonesia
"Yakin bakal laku? Team &amp; pembalap formula E aja tidak dikenal masyarakat, lalu daya tariknya dimana?
Jangan2 penont… https://t.co/bM8DH16ltE",2022-03-28 16:19:47,
"ANGGOTA DPRD DKI Jakarta, Gilbert Simanjuntak, menilai turunnya target jumlah penonton langsung Formula E dari 50.0… https://t.co/vRfdiDqTvs",2022-03-28 16:00:02,Jakarta - Indonesia
@ChusnulCh__ Nyadarkah? MotoGP Mandalika n Formula E Jakarta adalah agenda Indonesia?,2022-03-28 15:41:30,"Magelang, Jawa Tengah"
"detikNews: Berikut Koreksi FIA untuk Sirkuit Formula E di Ancol Jakarta.
https://t.co/YgMHB8r9xa

melalui @GoogleNews",2022-03-28 15:33:41,Indonesia 
"@EkoPutr81945779 @Lukmanharijant1 @GeiszChalifah Disini 295m, kok sebelah awalnya 2t lebih Trus di revisi 560, form… https://t.co/7g8fraOQrz",2022-03-28 14:56:02,
@WahyuEkoPrabow9 @insaninsun @cibel_tompelan @ErSatArema021 @AndriHarsa @03__nakula Hampir semua warga Jakarta tdk… https://t.co/J4U6tq1Sks,2022-03-28 14:54:54,"Zittau, Germany"
@WahyuEkoPrabow9 @insaninsun @cibel_tompelan @ErSatArema021 @AndriHarsa @03__nakula Mungkin lebih tepatnya orang2 y… https://t.co/QmELZSwkQe,2022-03-28 14:53:19,"Zittau, Germany"
Gerindra Sebut Wajar Kapasitas Penonton Formula E Jakarta Tidak Akan Sampai 50.000 https://t.co/V92mqP3a5t,2022-03-28 13:58:36,"Bandung, Jawa Barat"
